propertyLabel,propertyID                             ,min/max,valueDataType,note,valueConstraint,valueConstraintType
 Abstract          , http://purl.org/dc/terms/abstract             , 0...1 ,xsd:string, Free text ,,
 Access rights     , http://purl.org/dc/terms/accessRights         , 0...1 ,xsd:anyURI," A term from the [COAR vocabulary](http://vocabularies.coar-repositories.org/documentation/access_rights/). If term embargoed access is used is indicated, end date or duration of embargo should be provided in Embargo date range. ",http://vocabularies.coar-repositories.org/documentation/access_rights/,uriStem
 * Accessibility statement   , http://purl.org/dc/terms/accessibility             , 0...1 ,xsd:string, Free text ,,
 Affiliation       , http://purl.org/dc/terms/affiliation          , 0...1 ,xsd:string xsd:anyURI, Name and identifier of an organization or organizations ,,
 Bibliographic citation       , http://purl.org/dc/terms/bibliographicCitation, 0...1 ,xsd:string, Free text ,,
 Contributor       , http://purl.org/dc/terms/contributor          , 0...1 ,xsd:string xsd:anyURI, Name and identifier of a person and/or organization ,,
 Creator           , http://purl.org/dc/terms/creator              , 0...1 ,xsd:string xsd:anyURI, Name and identifier of a person and/or organization ,,
 Date              , http://purl.org/dc/terms/date                 ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 Date accepted     , http://purl.org/dc/terms/dateAccepted         ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date ahead of print               , http://purl.org/dc/terms/dateAheadOfPrint                     ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date available as public draft    , http://purl.org/dc/terms/dateAvailableAsPublicDraft           ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date missing      , http://purl.org/dc/terms/dateMissing         ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date lost     , http://purl.org/dc/terms/dateLost         ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 Date published     , http://purl.org/dc/terms/datePublished         ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date received as manuscript       , http://purl.org/dc/terms/dateReceivedAsManuscript             ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date retracted    , http://purl.org/spar/fabio/hasRetractionDate  ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD) ,,
 * Date submitted        , http://purl.org/dc/terms/dateSubmitted              ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date submitted as preprint        , http://purl.org/dc/terms/dateSubmittedAsPreprint              ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date submitted as postprint       , http://purl.org/dc/terms/dateSubmittedAsPostprint             ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 * Date updated     , http://purl.org/dc/terms/dateUpdated         ,1,xsd:date, Date according to ISO 8601-1 (YYYY-MM-DD)  ,,
 Description       , http://purl.org/dc/terms/description          ,1,xsd:string, Free text; different languages shall be provided separately (as different Description elements) ,,
 * Embargo date range     , http://purl.org/dc/terms/embargoDateRange     , 0...1 ,xsd:date," A period of time during which the resource is under embargo, according to ISO 8601-1 (YYYY-MM-DD/YYYY-MM-DD) ", ,
 Format            , http://purl.org/dc/terms/format               ,1,xsd:anyURI, MIME type registered by IANA   ,https://www.iana.org/assignments/media-types/,uriStem
 * Grant number      , http://purl.org/dc/terms/grantNumber          , 0...1 ,xsd:string, Free text  ,,
 Has Part          , http://purl.org/dc/terms/hasPart              , 0...1 ,xsd:anyURI xsd:string, URI or other identifier of a related resource ,,
 Identifier        , http://purl.org/dc/terms/identifier           ,1,xsd:anyURI," URI, one for each identifier the resource has, provided separately ",,
 Is Part Of        , http://purl.org/dc/terms/isPartOf             , 0...1 ,xsd:anyURI xsd:string, URI or other identifier of a related resource  ,,
 Language          , http://purl.org/dc/terms/language             ,1,xsd:string," A code from ISO 639-2, one for each language used in the resource, provided separately ",3,maxInclusive
 License           , http://purl.org/dc/terms/license              , 0...1 ,xsd:string, A legal document giving official permission to do something with the resource ,,
 * Presented at      , http://purl.org/ontology/bibo/presentedAt     , 0...1 ,xsd:string, Free text or URI ,,
 * Publication status       , http://purl.org/dc/terms/publicationStatus         , 0...1 ,xsd:string,  Publication status value from a predefined list ,,
 Publisher         , http://purl.org/dc/terms/publisher            , 0...1 ,xsd:anyURI xsd:string, Name and URI of an organization ,,
 * Related code  , http://purl.org/dc/terms/relatedCode       , 0...1 ,xsd:anyURI, URI ,,
 * Related dataset   , http://purl.org/dc/terms/relatedDataset       , 0...1 ,xsd:anyURI, URI ,,
 Relation          , http://purl.org/dc/terms/relation             , 0...1 ,xsd:anyURI, URI ,,
 Rights            , http://purl.org/dc/terms/rights               , 0...1 ,xsd:string, Information about rights held in and over the resource ,,
 Rights Holder     , http://purl.org/dc/terms/rightsHolder         , 0...1 ,xsd:string xsd:anyURI, A person or organization owning or managing rights over the resource ,,
 Subject           , http://purl.org/dc/terms/subject              , 0...1 ,xsd:anyURI, A concept from a controlled vocabulary such as LCSH or MeSH ,,
 Title             , http://purl.org/dc/terms/title                ,1,xsd:string," Free text, titles in different languages provided separately ",,
 Type              , http://purl.org/dc/terms/type                 , 0...1 ,xsd:anyURI, A term from the DCMI Type vocabulary or from the the [COAR resource type vocabulary](http://vocabularies.coar-repositories.org/pubby/resource_type) , http://vocabularies.coar-repositories.org/pubby/resource_type http://purl.org/dc/dcmitype/,uriStem
