shapeID,shapeLabel,propertyLabel,propertyID,mandatory,repeatable,valueDatatype,valueShape,valueConstraint,valueConstraintType,note
,,,,,,,,,,
srap,Scholarly resource,Abstract,dct:abstract,FALSE,FALSE,xsd:string,,,,Free text
,,Access rights,dct:accessRights,FALSE,FALSE,xsd:anyURI,,http://vocabularies.coar-repositories.org/documentation/access_rights/,IRIstem,A term from COAR vocabulary (http://vocabularies.coar-repositories.org/documentation/access_rights/
,,*Accessibility statement,,FALSE,FALSE,xsd:string,,,,
,,*Affiliation,,FALSE,FALSE,xsd:anyURI xsd:string,,,,
,,Contributor,dct:contributor,FALSE,FALSE,,Person,,,Name and identifier of persons and/or organizations
,,Creator,dct:creator,FALSE,FALSE,,Person,,,Name and identifier of persons and/or organizations
,,Date,dct:date,TRUE,FALSE,xsd:date,,,,Date according to ISO 8601-1
,,Date accepted,dct:dateAccepted,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-2
,,*Date ahead of print,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-3
,,*Date available as public draft,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-4
,,*Date missing,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-5
,,*Date lost,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-6
,,Date published,dct:date,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-7
,,*Date received as manuscript,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-8
,,*Date retracted,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-9
,,Date submitted,dct:dateSubmitted,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-10
,,*Date submitted as preprint,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-11
,,*Date updated,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-12
,,Description,dct:description,TRUE,FALSE,xsd:string,,,,Free text; different languages shall be provided separately (as different Description elements)
,,*Embargo date range,,FALSE,FALSE,xsd:date,,,,Date according to ISO 8601-10
,,Format,dct:format,TRUE,FALSE,xsd:string,,,,MIME type registered by IANA
,,*Grant number,,FALSE,FALSE,xsd:string,,,,Free text
,,Has Part,dct:hasPart,FALSE,FALSE,xsd:anyURI xsd:string,,,,URI or other identifier of the related resource
,,Identifier,dct:identifier,TRUE,FALSE,xsd:anyURI xsd:string,,,,"URI, one for each identifier the resource has, provided separately"
,,Is Part Of,dct:isPartOf,FALSE,FALSE,xsd:anyURI xsd:string,,,,URI or other identifier of the related resource
,,Language,dct:language,TRUE,FALSE,xsd:string,,,,"A code from ISO 639-2, one for each language used in the resource, provided separately"
