shapeID,propertyLabel,propertyID,valueNodeType,valueDatatype,valueShape,valueConstraint,valueConstraintType,note
,,,,,,,,
Scholarly Resource,Type,dct:type,IRI,xsd:anyURI,,http://purl.org/coar/resource_type/,IRIstem,"Resource type, using the COAR Resorce Types vocabulary."
,Description,dct:description,literal,xsd:string,,,,An account of the resource.
,Abstract,dct:abstract,literal,xsd:string,,,,A summary of the resource.
,Contributor,dct:contributor,IRI,xsd:anyURI,Person,,,An entity responsible for making contributions to the resource.
,Creator,dct:creator,IRI,xsd:anyURI,Person,,,An entity responsible for making the resource.
,Language,dct:language,literal,xsd:string,,,,A language of the resource.
,Publisher,dct:publisher,IRI,xsd:anyURI,Organization,,,An entity responsible for making the resource available.
,Subject,dct:subject,IRI literal,xsd:anyURI xsd:string,,,,The topic of the resource; a concept from a controlled vocabulary such as LCSH or MeSH
,Title,dct:title,literal,xsd:string,,,,A name given to the resource.
,Relation,dct:relation,IRI literal,xsd:anyURI xsd:string,,,,A related resorce.
,Format,dct:format,literal,xsd:string,,,,"The file format, physical medium, or dimensions of the resource."
,Table of Contents,dct:tableOfContents,literal,xsd:string,,,,A list of subunits of the resource.
,,,,,,,,
,Publication Status,srap:publicationStatus,IRI,xsd:anyURI,,info:eu-repo/semantics/,IRIstem,"The stage of the resource in the publishing workflow, using the OpenAIRE Publication Version vocabulary."
,Date Issued,dct:issued,literal,xsd:date,,,,Date of formal issuance of the resource.
,Date Modified,dct:modified,literal,xsd:date,,,,Date on which the resource was changed.
,Date Accepted,dct:dateAccepted,literal,xsd:date,,,,Date of acceptance of the resource.
,Date Lost,srap:dateLost,literal,xsd:date,,,,Date when the resource was lost.
,Date Missing,srap:dateMissing,literal,xsd:date,,,,Date when the resource went missing.
,Embargo Date Range,srap:embargoDateRange,literal,xsd:date,,,,A period of time during which the resource is under embargo.
,Date Ahead of Print,srap:dateAheadOfPrint,literal,xsd:date,,,,Date when the final version of the resource was made available on the Web or in print format before publication in a journal issue.
,Date Available as Public Draft,srap:dateAvailableAsPublicDraft,literal,xsd:date,,,,Date when an early draft of the resource (predating even preprint) has been made available in an open repository such as ArXiv.
,Date Received as Manuscript,srap:dateReceivedAsManuscript,literal,xsd:date,,,,Date when the resource is first received by the publisher.
,Date Retracted,fabio:hasRetractionDate,literal,xsd:date,,,,Date when the resource was retracted or withdrawn.
,Date Submitted as Preprint,srap:dateSubmittedAsPreprint,literal,xsd:date,,,,Date when an author submits a preprint of an unpublished resource to a repository.
,Date Submitted as Postprint,srap:dateSubmittedAsPostprint,literal,xsd:date,,,,Date when an author submits a postprint of an unpublished resource to a repository.
,Date Updated,srap:dateUpdated,literal,xsd:date,,,,Date(s) when the publication was republished with additional or revised content.
,,,,,,,,
,Volume,bibo:volume,literal,xsd:string,,,,A volume number of the periodical where this article was published
,Issue,bibo:issue,literal,xsd:string,,,,An issue number of the periodical that this article was published in
,Start page,bibo:pageStart,literal,xsd:string,,,,Starting page number within a continuous page range.
,End page,bibo:pageEnd,literal,xsd:string,,,,Ending page number within a continuous page range.
,Is Part Of,dct:isPartOf,IRI literal,xsd:anyURI xsd:string,Periodical,,,A related resource in which the described resource is physically or logically included.
,Has Part,dct:hasPart,IRI literal,xsd:anyURI xsd:string,,,,A related resource that is included either physically or logically in the described resource.
,Presented At,bibo:presentedAt,IRI literal,xsd:anyURI xsd:string,,,,"Conference, workshop or other scientific event where the scholarly resource was presented."
