shapeID,propertyLabel,propertyID,valueDatatype,valueShape,valueConstraint,valueConstraintType,note
,,,,,,,
Scholarly Resource,Abstract,dct:abstract,xsd:string,,,,Free text
,Access rights,dct:accessRights,xsd:anyURI,,http://vocabularies.coar-repositories.org/documentation/access_rights/,IRIstem,A term from COAR vocabulary (http://vocabularies.coar-repositories.org/documentation/access_rights/
,*Accessibility statement,,xsd:string,,,,"Textual information describing the accessibility features of a resource, including technical details. Recommended practice is to define the accessibility options, such as software requirements for using the document or technical features such as open or closed captioning."
,Bibliographic citation,dct:bibliographicCitation,xsd:string,,,,A bibliographic reference for the resource. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.
,Contributor,dct:contributor,,Person Organization,,,
,Creator,dct:creator,,Person Organization,,,Name and identifier of persons and/or organizations
,Date,dct:date,xsd:date,,,,Date according to ISO 8601-1
,Date accepted,dct:dateAccepted,xsd:date,,,,Date of acceptance of the resource. Recommended practice is to provide this date if it is specified in the resource. Examples of scholarly resources to which a date of acceptance may be relevant are a thesis (accepted by a university department) or a scientific article (accepted by a journal).
,*Date ahead of print,,xsd:date,,,,"Date when the final version of the resource was made available in the Web or in print format before publication in a journal issue. NOTE Many scientific journals operate article-level publishing, whereby articles are processed for publication immediately following acceptance. Such articles are later compiled into the next journal issue to be published. Recommended practice is to use Date ahead of print to record the date when the article was published, and Date published to record the date when the journal issue was published."
,*Date available as public draft,,xsd:date,,,,Date when an early draft of the resource (predating even preprint) has been made available in an open repository such as ArXiv.
,*Date missing,,xsd:date,,,,"Date when the resource went missing. Recommended practice is to provide this date only if there is no reasonable doubt that the resource is missing; that is, there may be one or more copies left but they cannot be found. Criteria for making the decision that the resource is missing may be developed locally. A SRAP record with date missing should have sufficient metadata to serve as a temporary tombstone of the resource. Date missing may be used when e.g. a printed copy (item) of a resource has disappeared and its current location is unknown for the time being."
,*Date lost,,xsd:date,,,,"Date when the resource was lost. Recommended practice is to provide this date only if there is no reasonable doubt that the resource has been lost; that is, there is not a single (readable) copy of it left. Criteria for making the decision that the resource has been lost may be developed locally, but can include for instance digital documents that can no longer be rendered. A SRAP record with date lost should contain sufficient metadata to serve as a permanent tombstone of the resource. Date lost should be used when e.g. the only known copy of a digital or printed resource has been destroyed or otherwise rendered unusable. Date lost should not be used when a publisher fails but its resources (e.g. serials) are still preserved in a legal deposit collection. Rights metadata should be updated to reflect changes in restrictions on access and use of such archived resources. For serials and other continuing publications, the most convenient solution is to provide this metadata in the host record, from which it may be copied to all component part (article) records."
,*Date received as manuscript,,xsd:date,,,,Date when the resource is first received by the publisher. Recommended practice is to provide this data when it is indicated in the resource.
,*Date retracted,,xsd:date,,,,Date when the resource was retracted or withdrawn. Recommended practice is to provide the reason for retraction or withdrawal in the Description element. NOTE: Do not use Date lost or Date missing for retracted resources.
,Date submitted,dct:dateSubmitted,xsd:date,,,,Date according to ISO 8601-1
,*Date submitted as preprint,,xsd:date,,,,"Date when an author submits a preprint of an unpublished resource to a repository. Recommended practice is to provide this information when it is included in the resource, provided by the author or available in the repository application."
,*Date updated,,xsd:date,,,,Date(s) when the publication was republished with additional or revised content. Recommended practice is to provide this date if it is specified in the publication.
,Description,dct:description,xsd:string,,,,Free text; different languages shall be provided separately (as different Description elements)
,*Embargo date range,,xsd:date,,,,"A period of time during which the resource is under embargo. Recommended practice is to describe the date range as recommended for the property Date. NOTE Date available covers all resource types and news embargo, a request by a source that the information or news provided by that source not be published until a certain date or certain conditions have been met."
,Format,dct:format,xsd:string,,,,MIME type registered by IANA
,*Grant number,,xsd:string,,,,"An alpha-numeric string identifying the contract, project or funding grant under which the scholarly resource was created."
,Has Part,dct:hasPart,xsd:anyURI xsd:string,,,,URI or other identifier of the related resource
,Identifier,dct:identifier,xsd:anyURI xsd:string,,,,"URI, one for each identifier the resource has, provided separately"
,Is Part Of,dct:isPartOf,xsd:anyURI xsd:string,,,,URI or other identifier of the related resource
,Is Referenced By,dct:isReferencedBy,xsd:anyURI xsd:string,,,,URI or other identifier of the related resource
,Is Version Of,dct:isVersionOf,xsd:anyURI xsd:string,,,,URI or other identifier of the related resource
,Issued,dct:issued,xsd:date,,,,Date according to ISO 8601-1
,Language,dct:language,xsd:string,,,,"A code from ISO 639-2, one for each language used in the resource, provided separately"
,License,dct:license,xsd:anyURI xsd:string,,,,"A legal document giving official permission to do something with the resource. Recommended practice is to identify the license document with a URI. If this is not possible or feasible, a literal value that identifies the license may be provided."
,Modified,dct:modified,xsd:date,,,,Date according to ISO 8601-1
,Presented at,bibo:presentedAt,xsd:anyURI xsd:string,,,,"Conference, workshop or other scientific event where the scholarly resource was presented. Recommended practice is to identify formal meetings such as conferences with a URI. If this is not possible or feasible, a literal value that identifies the meeting may be provided. It is also possible to give both the name and the URI."
