,"SRAP ""flat""",Finnish vocabulary,DCT terms,,,
,rdf:type,,,,,
,dct:type,"dc.type.[sanaston nimitys]
dc.type.okm
dc.type.ontasot
dc.type.publication
dc.type.version",,,,
,dct:language,dc.language.iso,,,,
,dct:creator,dct:creator,,,,
,dct:contributor,"dc.contributor.[muu tekijyys]
dc.contributor.[tunnisteen lyhen
dc.contributor.author
dc.contributor.department
dc.contributor.editor
dc.contributor.faculty
dc.contributor.groupauthor
dc.contributor.organization",,,,
,,"dc.coverage.spatial
dc.coverage.temporal","dct:spatial
dct:temporal",,,
,,,,,,
,dct:publisher,"dc.publisher
dc.publisher.country
dc.publisher.place",,,,
,dct:title,"dc.title
dc.title.alternative",,,,
,dct:format,"dc.format.content
dc.format.extent
dc.format.mimetype
dc.format.pagerange
dc.format.size",dct:extent,,,
,dct:subject,"dc.subject
dc.subject.[asiasanaston lyhenn
dc.subject.degreeprogram
dc.subject.discipline
dc.subject.specialization",,,,
,,,,,,
,dct:abstract,,,,,
,dct:tableOfContents,,,,,
,dct:description,"dc.description
dc.description.abstract
dc.description.edition
dc.description.notification
dc.description.provenance
dc.description.reviewstatus",dct:abstract,,,
,bibo:presentedAt,,,,,
,dct:bibliographicCitation,,,,,
,dct:relation,"dc.relation.[tunnisteen lyhenne]
dc.relation.articlenumber
dc.relation.conference
dc.relation.dataset
dc.relation.doi
dc.relation.funder
dc.relation.grantnumber
dc.relation.haspart
dc.relation.isbn
dc.relation.ispartof
dc.relation.ispartofjournal
dc.relation.ispartofseries
dc.relation.isreferencedby
dc.relation.issn
dc.relation.issue
dc.relation.isversionof
dc.relation.numberinseries
dc.relation.pid
dc.relation.projectid
dc.relation.reference
dc.relation.url
dc.relation.urn
dc.relation.volume","dct:hasPart
dct:isPartOf",,,
,dct:isPartOf,,dct:isPartOf,,,
,,,,,,
,,,,,,
,dct:date,"dc.date.available
dc.date.issued","dct:available
dct:issued",,,
,dct:issued,,,,,
,dct:modified,,,,,
,dct:dateAccepted,,,,,
,srap:dateRetracted,,,,,
,srap:versionType,,,,,
,srap:embargoDateRange,,,,,
,,,,,,
,dct:identifier,"dc.identifier.[tunnisteen lyhenn
dc.identifier.other
dc.identifier.citation
dc.identifier.doi
dc.identifier.isbn
dc.identifier.uri
dc.identifier.urn",,,,
,bibo:isbn,,,,,
,srap:url,,,,,
,,"dc.source.identifier
dc.source.metadata",,,,
,bibo:volume,,,,,
,bibo:issue,,,,,
,bibo:pageStart,,,,,
,bibo:pageEnd,,,,,
,,,,,,
,dct:accessRights,,,,,
,dct:license,,,,,
,dct:rights,"dc.rights
dc.rights.accesslevel
dc.rights.accessrights
dc.rights.copyright
dc.rights.copyrightholder
dc.rights.url",,,,
,dct:rightsHolder,,,,,
,,,,,,
,srap:accessibilityStatement,,,,,
,,,,,,
,srap:project,,,,,
,srap:funding,,,,,
,srap:scholarlyUnit,,,,,
